ID,EDAD,SEXO,CODIGO_DEPARTAMENTO,REGION,TIPO_PESCADOR,COBRO,MONTO,FECHA_CORTE,FECHA_PUBLICACION_PNDA
27086,60,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26929,40,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27246,36,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25839,35,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25884,31,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25933,24,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
25840,51,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
26582,41,F,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26616,22,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26492,49,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27065,53,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26756,26,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26770,54,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26020,41,M,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
26090,39,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26289,40,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26675,52,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
36189,51,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26990,53,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26910,35,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27006,30,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27101,54,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
27095,39,F,18,MOQUEGUA,EMBARCADO,0,700,20240228,20240404
26658,64,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26638,52,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26550,24,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26467,37,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26468,44,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
26403,53,M,18,MOQUEGUA,EMBARCADO,1,700,20240228,20240404
